iter	Logloss
0	0.6918367536
1	0.690743007
2	0.6894773848
3	0.6883270607
4	0.6875002572
5	0.6862243052
6	0.6847069987
7	0.6833321218
8	0.682436568
9	0.6810571049
10	0.6801155605
11	0.6786985076
12	0.6774898058
13	0.6759527828
14	0.6749318155
15	0.6734727152
16	0.6721468722
17	0.670941085
18	0.6701708161
19	0.6687456195
20	0.6676492584
21	0.6667385316
22	0.665341838
23	0.6641370795
24	0.6630061718
25	0.6616371241
26	0.6603408556
27	0.6594423873
28	0.6585677929
29	0.6572299914
30	0.6563126639
31	0.6554942185
32	0.6544033865
33	0.653537836
34	0.6528282166
35	0.6520487753
36	0.6507168888
37	0.6498545957
38	0.6485857589
39	0.6472917621
40	0.6461592256
41	0.6452602429
42	0.6443868058
43	0.6434813939
44	0.6426989095
45	0.6419439852
46	0.6410624472
47	0.6399891457
48	0.639027199
49	0.6383305667
50	0.637614218
51	0.6367207645
52	0.6358173242
53	0.634704847
54	0.6334541407
55	0.6326465821
56	0.6314334655
57	0.6306696688
58	0.6293997604
59	0.628726402
60	0.6277039774
61	0.6265410091
62	0.6252623997
63	0.6243272417
64	0.6230699346
65	0.6225959692
66	0.6214350154
67	0.6208812842
68	0.6197833372
69	0.6186695742
70	0.6177072846
71	0.6171705267
72	0.6162543565
73	0.6154858021
74	0.6146049928
75	0.6134758424
76	0.6127457351
77	0.6120049123
78	0.6109496556
79	0.6103045003
80	0.6096741751
81	0.6089594123
82	0.6081260938
83	0.6072104808
84	0.6061929424
85	0.6051174121
86	0.6044269948
87	0.6035588297
88	0.6024158778
89	0.6015256817
90	0.6007913311
91	0.6002675603
92	0.599121951
93	0.5981209573
94	0.5971555388
95	0.596538758
96	0.5958501837
97	0.5952922521
98	0.594435874
99	0.5936776493
100	0.5929316403
101	0.5919846524
102	0.5914272351
103	0.5907490762
104	0.5899597339
105	0.5891720204
106	0.5883310725
107	0.5874538636
108	0.5868399116
109	0.586065571
110	0.5853247482
111	0.5847410566
112	0.5838800495
113	0.5835056948
114	0.5826127127
115	0.5817755367
116	0.5809421325
117	0.5804385496
118	0.5798775319
119	0.5788574219
120	0.578101126
121	0.5775143913
122	0.5771257208
123	0.5763572521
124	0.5756345599
125	0.5747947264
126	0.5741095811
127	0.5732632326
128	0.5724521594
129	0.5718445081
130	0.5714256201
131	0.5707263732
132	0.5700972482
133	0.5694436063
134	0.5686825099
135	0.5678683506
136	0.5670964102
137	0.5663356995
138	0.5656676989
139	0.5651531862
140	0.5645073023
141	0.5638512172
142	0.5632927284
143	0.5628428513
144	0.562231171
145	0.5615519406
146	0.5610915195
147	0.5605546758
148	0.5600406775
149	0.5592571644
150	0.5588155168
151	0.5582422406
152	0.5577965211
153	0.5571672247
154	0.5564327454
155	0.5558923443
156	0.5553370272
157	0.5547317333
158	0.5542350512
159	0.5536276999
160	0.5532379579
161	0.5525481835
162	0.5517263091
163	0.5511300162
164	0.5504126388
165	0.5495923074
166	0.5489635682
167	0.548447684
168	0.5477247774
169	0.5470843369
170	0.5466636058
171	0.5462585621
172	0.5456160642
173	0.545131469
174	0.5444470523
175	0.5437529489
176	0.5432793692
177	0.5429430329
178	0.542473868
179	0.5421183297
180	0.5417406747
181	0.5410241116
182	0.5403493817
183	0.5398089377
184	0.5391977289
185	0.5388381186
186	0.5383915419
187	0.5379966993
188	0.5376747217
189	0.5371110466
190	0.5363331484
191	0.5360407454
192	0.5353689301
193	0.5348830062
194	0.5344813486
195	0.5340406439
196	0.5335557916
197	0.5330577379
198	0.5325950022
199	0.5320918051
200	0.5315924655
201	0.5307612473
202	0.5302124023
203	0.5296589283
204	0.5290909671
205	0.5287283565
206	0.5282114436
207	0.5278750216
208	0.5273402353
209	0.5266658483
210	0.5261126743
211	0.5254951648
212	0.5250160989
213	0.5244989717
214	0.5240531664
215	0.5237321318
216	0.5233825084
217	0.5229442468
218	0.5224547654
219	0.522174278
220	0.5217080277
221	0.5212088596
222	0.5207606541
223	0.5201797485
224	0.5198155521
225	0.5195649393
226	0.5191088473
227	0.5186717001
228	0.5182177511
229	0.5176452894
230	0.5173811323
231	0.5170129497
232	0.5167458352
233	0.5162834425
234	0.5159427343
235	0.5154336651
236	0.5150668541
237	0.5144761332
238	0.5140155835
239	0.5137508264
240	0.5132982918
241	0.5129372243
242	0.5124190255
243	0.5120542719
244	0.5114902539
245	0.5112667298
246	0.5110205318
247	0.5106630218
248	0.5103019114
249	0.5100390402
250	0.5096165518
251	0.5092139941
252	0.5088885018
253	0.5084690137
254	0.5080641414
255	0.5076284087
256	0.5072179216
257	0.5069450207
258	0.5066299438
259	0.5061766378
260	0.5057400478
261	0.5054285285
262	0.5051849022
263	0.5048290638
264	0.5045757508
265	0.5042317423
266	0.5038088681
267	0.5034814042
268	0.5030609731
269	0.5026131105
270	0.5021776349
271	0.5017972796
272	0.5014184673
273	0.5010868887
274	0.5008394048
275	0.5003882847
276	0.50015876
277	0.4999189484
278	0.49957644
279	0.4992578485
280	0.4989427288
281	0.498587319
282	0.4981913192
283	0.4978440531
284	0.4974268367
285	0.4971046019
286	0.4968444738
287	0.4965452559
288	0.4962477952
289	0.4959805092
290	0.4955563063
291	0.4951314605
292	0.4948890772
293	0.4944469152
294	0.4939239159
295	0.4936502864
296	0.4931838646
297	0.4927354448
298	0.4925423097
299	0.4921520105
300	0.4919246716
301	0.4916097234
302	0.4913753552
303	0.4908936318
304	0.49045297
305	0.4900465547
306	0.4897978279
307	0.4894531764
308	0.4889993989
309	0.4886884368
310	0.4884371811
311	0.488196898
312	0.4878820355
313	0.4876498962
314	0.487245624
315	0.4870618327
316	0.4867644578
317	0.4865779234
318	0.4863513561
319	0.4861075583
320	0.4856704112
321	0.4853937813
322	0.4851144512
323	0.4849787937
324	0.484634228
325	0.4842744034
326	0.4839018061
327	0.4836432211
328	0.4833576331
329	0.4829528466
330	0.4826098238
331	0.4823532533
332	0.4820708371
333	0.481751517
334	0.4815138056
335	0.4812385045
336	0.4809348289
337	0.4806825445
338	0.4804040287
339	0.4800007852
340	0.4796310168
341	0.4794405819
342	0.4791936553
343	0.4789133822
344	0.4785914475
345	0.4783425492
346	0.47809858
347	0.4777770739
348	0.4774875855
349	0.4772212854
350	0.4768758624
351	0.4765565851
352	0.4763406904
353	0.4761226525
354	0.4757873878
355	0.4755279455
356	0.4752949918
357	0.4750619953
358	0.4748381711
359	0.4746524511
360	0.4743588051
361	0.4740718884
362	0.4737456247
363	0.4734530074
364	0.4732050949
365	0.4728957616
366	0.4726340476
367	0.4724093234
368	0.4722539495
369	0.4719862777
370	0.4716534561
371	0.4715236278
372	0.4714341753
373	0.471174133
374	0.4708786868
375	0.4706365178
376	0.4704124365
377	0.4701612665
378	0.4698272019
379	0.4695962627
380	0.4694433319
381	0.4692765997
382	0.4691358845
383	0.4688072633
384	0.4685154604
385	0.4682504461
386	0.4680873571
387	0.467860404
388	0.4677021155
389	0.4675328973
390	0.4672276358
391	0.4670040259
392	0.466738583
393	0.4665901098
394	0.4664085903
395	0.4662254848
396	0.4658878626
397	0.4656270059
398	0.4653016851
399	0.4649568193
400	0.4646383564
401	0.4643695274
402	0.4640468212
403	0.46391665
404	0.4637595616
405	0.4635752989
406	0.46341401
407	0.463212474
408	0.4628811097
409	0.462563804
410	0.4622846453
411	0.4621196275
412	0.4618434263
413	0.4615454084
414	0.4612613206
415	0.4610789438
416	0.4608393466
417	0.4606390964
418	0.4603479364
419	0.4601764465
420	0.4599317058
421	0.4597894047
422	0.4596080137
423	0.4594153501
424	0.4592376452
425	0.4590843286
426	0.4588980943
427	0.4587242041
428	0.4585071092
429	0.4583590218
430	0.4581443701
431	0.4579417197
432	0.4577216673
433	0.4576019973
434	0.4574214635
435	0.4572100693
436	0.4570575243
437	0.4569042506
438	0.4567309605
439	0.4565895166
440	0.4563855803
441	0.4563137012
442	0.4562489799
443	0.4560335995
444	0.4558369069
445	0.4556543157
446	0.4555024565
447	0.4553646559
448	0.4551722494
449	0.4550614089
450	0.4548613302
451	0.4546453497
452	0.454346046
453	0.4541323372
454	0.4539078273
455	0.4536566574
456	0.4534905251
457	0.4533105057
458	0.4531264144
459	0.4529551817
460	0.4527485022
461	0.4525462804
462	0.4523342004
463	0.4520823447
464	0.4519262421
465	0.4517109046
466	0.4515174266
467	0.4513254916
468	0.4511766327
469	0.4510651921
470	0.4509076322
471	0.4506220443
472	0.4504577122
473	0.4503304985
474	0.4501767962
475	0.4500233082
476	0.4499314555
477	0.4498198863
478	0.4496346377
479	0.4495336983
480	0.4493954262
481	0.4492098776
482	0.4490474744
483	0.4488911575
484	0.4487338548
485	0.4486313723
486	0.4484045479
487	0.4482344724
488	0.4480459663
489	0.4478386011
490	0.4476161914
491	0.4474342003
492	0.4471996607
493	0.4470564167
494	0.4468984711
495	0.4467955171
496	0.4466455867
497	0.4464066323
498	0.4462613738
499	0.4460919841
500	0.4459542264
501	0.4457170294
502	0.4455421105
503	0.445366463
504	0.4451952302
505	0.4449910367
506	0.44482259
507	0.4445827356
508	0.4443760133
509	0.4442259971
510	0.4440929541
511	0.4440245039
512	0.4438780881
513	0.4437087413
514	0.4435050193
515	0.4434193386
516	0.4431889995
517	0.4430226101
518	0.4429545885
519	0.442888067
520	0.4427118194
521	0.442589149
522	0.4425324429
523	0.4423924135
524	0.4422115369
525	0.442101725
526	0.4419650389
527	0.4417740897
528	0.4416605917
529	0.4414202229
530	0.4412090859
531	0.4410390532
532	0.4407989845
533	0.4405187971
534	0.4403622231
535	0.440128755
536	0.4399456924
537	0.4397862467
538	0.439587068
539	0.439458397
540	0.4393674872
541	0.4392338013
542	0.4391216321
543	0.4389888892
544	0.4388501028
545	0.4387263609
546	0.4385424839
547	0.4383389762
548	0.4382778982
